,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,highlightjs-pkl,JavaScript
43,homebrew-apple,Ruby
44,HomeKitADK,C
45,learning-compressible-subspaces,Python
46,learning-subspaces,Python
47,llvm-monorepo-root,
48,llvm-project-v5,C++
49,llvm-project-v5-split,C++
50,mapkit-loader,TypeScript
51,ml-4m,Python
52,ml-acn-embed,Python
53,ml-act,Python
54,ml-ademamix,Python
55,ml-afv,Python
56,ml-agent-evaluator,Jupyter Notebook
57,ml-agm,Python
58,ml-aim,Python
59,ml-all-pairs,Python
60,ml-ane-transformers,Python
61,ml-aspanformer,Python
62,ml-aspera,Python
63,ml-atoken,Jupyter Notebook
64,ml-aura,Python
65,ml-autofocusformer,Python
66,ml-autofocusformer-segmentation,Python
67,ml-batchquant,Python
68,ml-behavioral-testing-for-mt,
69,ml-bilevel-train-dist,Python
70,ml-bloop,Python
71,ml-calibration,Jupyter Notebook
72,ml-capsules-inverted-attention-routing,Python
73,ml-cifar-10-faster,Python
74,ml-clara,Python
75,ml-code-switched-speech-translation,Python
76,ml-codeswitching-translations,
77,ml-collegial-ensembles,Python
78,ml-comotion,Python
79,ml-compress-and-compare,Python
80,ml-constructive-circuit-amplification,Python
81,ml-core,Python
82,ml-covid-mobility,R
83,ml-cread,Python
84,ml-cross-entropy,Python
85,ml-cubifyanything,Python
86,ml-cvnets,Python
87,ml-cvpr2019-swd,Python
88,ml-dab,Python
89,ml-data-parameters,Python
90,ml-dataset-decomposition,Python
91,ml-delphi,
92,ml-depth-pro,Python
93,ml-destseg,Python
94,ml-diffucoder,Python
95,ml-diffusion-alignment-gflownet,Python
96,ml-direct2.5,Python
97,ml-divide-or-conquer,Python
98,ml-dms-dataset,Python
99,ml-dprecs,Jupyter Notebook
100,ml-dr,Python
101,ml-duet,Python
102,ml-egodex,Python
103,ml-encqa,Python
104,ml-entity-deduction-arena,Python
105,ml-entropy-reconstruction,Python
106,ml-envmapnet,Python
107,ml-epicache,Python
108,ml-equivariant-neural-rendering,Jupyter Notebook
109,ml-facelit,Python
110,ml-famae,Python
111,ml-fastvit,Python
112,ml-fastvlm,Python
113,ml-fct,Python
114,ml-ferret,Python
115,ml-finerecon,Python
116,ml-flair,Jupyter Notebook
117,ml-flextok,Jupyter Notebook
118,ml-fs-dfm,Python
119,ml-gaudi,
120,ml-gbc,Python
121,ml-genctrl,Python
122,ml-gendered-translation,Ruby
123,ml-gie-bench,Python
124,ml-gmpi,Python
125,ml-gsm-symbolic,
126,ml-gsn,Python
127,ml-hd-gist,Python
128,ml-heart-rate-models,Python
129,ml-hierarchical-confusion-matrix,TypeScript
130,ml-hilbert,Python
131,ml-hugs,Python
132,ml-hypercloning,Python
133,ml-hypersim,Python
134,ml-icr2,Python
135,ml-inrflow,Python
136,ml-interactive-data-augmentation,Svelte
137,ml-internal-llms-instruction-following,Python
138,ml-interspeech2022-phi_rtn,
139,ml-isqoe,Python
140,ml-jointnet,Python
141,ml-key-retrieval-code-tasks,Python
142,ml-keyframer,JavaScript
143,ml-kg-mt,Python
144,ml-kge,Python
145,ml-knowledge-conflicts,Python
146,ml-kpconvx,Python
147,ml-l3m,Python
148,ml-lineas,Python
149,ml-live-pose,
150,ml-llarp,Python
151,ml-loop,Python
152,ml-lucid-datagen,Python
153,ml-mad-bench,Jupyter Notebook
154,ml-matrix3d,Python
155,ml-mcf,Python
156,ml-mcp-repo-level-coding,Python
157,ml-mdm,Python
158,ml-mebp,Swift
159,ml-mgie,Python
160,ml-mia-bench,Jupyter Notebook
161,ml-MixupMP,Python
162,ml-mkqa,Python
163,ml-mobileclip,Python
164,ml-mobileclip-dr,Python
165,ml-mobileone,Swift
166,ml-mofi,Python
167,ml-multiple-futures-prediction,Python
168,ml-mycelium,JavaScript
169,ml-ncg,Python
170,ml-negative-sampling,Python
171,ml-neilf,Python
172,ml-neilfpp,Python
173,ml-neuman,Python
174,ml-no-token-left-behind,Jupyter Notebook
175,ml-np-rasp,Python
176,ml-nvas3d,Python
177,ml-ogen,Python
178,ml-omni-router-moe-asr,Python
179,ml-pararnn,Python
180,ml-persona-red-teaming,Python
181,ml-pfl4asr,Python
182,ml-pgdvs,Python
183,ml-planner,Python
184,ml-pointconvformer,Python
185,ml-pointersect,Python
186,ml-policy-projector,Python
